-- Startup on: Thursday, May 15, 2025 11:44:16 AM --
sequence_number	time	processID	unique_processID	stack_level	operation_type	operation	operation_parameters	form_event	stack_opening_sequence_number	stack_level_execution_time
801	2025-05-15T14:37:15.484	5	5143	1	2	Sur connexion Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0		
802	2025-05-15T14:37:15.484	5	5143	2	1	494		0		
803	2025-05-15T14:37:15.484	5	5143	2	1	494		0	802	2
804	2025-05-15T14:37:15.484	5	5143	1	2	Sur connexion Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0	801	94
805	2025-05-15T14:37:15.510	6	5144	0	8	9E5FD30F1C39FD4780B88E227033ACA7	Process Web	0		
806	2025-05-15T14:37:15.510	6	5144	1	2	Compiler_Web		0		
807	2025-05-15T14:37:15.510	6	5144	2	1	604	DAX_BinaryFile	0		
808	2025-05-15T14:37:15.510	6	5144	2	1	604	DAX_BinaryFile	0	807	6
809	2025-05-15T14:37:15.510	6	5144	1	2	Compiler_Web		0	806	57
810	2025-05-15T14:37:15.511	6	5144	1	2	Sur authentification Web	"/baseR4/metadata";"GET /baseR4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
811	2025-05-15T14:37:15.512	6	5144	1	2	Sur authentification Web	"/baseR4/metadata";"GET /baseR4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	810	50
812	2025-05-15T14:37:15.512	6	5144	1	2	Sur connexion Web	"/baseR4/metadata";"GET /baseR4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
813	2025-05-15T14:37:15.512	6	5144	2	1	494		0		
814	2025-05-15T14:37:15.512	6	5144	2	1	494		0	813	2
815	2025-05-15T14:37:15.512	6	5144	1	2	Sur connexion Web	"/baseR4/metadata";"GET /baseR4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	812	46
816	2025-05-15T14:37:15.543	9	5145	0	8	B9E47059C8E0374895C62E6801443A58	Process Web	0		
817	2025-05-15T14:37:15.543	9	5145	1	2	Compiler_Web		0		
818	2025-05-15T14:37:15.543	9	5145	2	1	604	DAX_BinaryFile	0		
819	2025-05-15T14:37:15.543	9	5145	2	1	604	DAX_BinaryFile	0	818	7
820	2025-05-15T14:37:15.543	9	5145	1	2	Compiler_Web		0	817	88
821	2025-05-15T14:37:15.544	9	5145	1	2	Sur authentification Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0		
822	2025-05-15T14:37:15.544	9	5145	1	2	Sur authentification Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0	821	25
823	2025-05-15T14:37:15.545	9	5145	1	2	Sur connexion Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0		
824	2025-05-15T14:37:15.545	9	5145	2	1	494		0		
825	2025-05-15T14:37:15.545	9	5145	2	1	494		0	824	1
826	2025-05-15T14:37:15.545	9	5145	1	2	Sur connexion Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0	823	46
827	2025-05-15T14:37:15.571	10	5146	0	8	39A4035A40E40C46AC9D10ADBE935AFC	Process Web	0		
828	2025-05-15T14:37:15.571	10	5146	1	2	Compiler_Web		0		
829	2025-05-15T14:37:15.571	10	5146	2	1	604	DAX_BinaryFile	0		
830	2025-05-15T14:37:15.571	10	5146	2	1	604	DAX_BinaryFile	0	829	7
831	2025-05-15T14:37:15.571	10	5146	1	2	Compiler_Web		0	828	56
832	2025-05-15T14:37:15.572	10	5146	1	2	Sur authentification Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0		
833	2025-05-15T14:37:15.572	10	5146	1	2	Sur authentification Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0	832	24
834	2025-05-15T14:37:15.573	10	5146	1	2	Sur connexion Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0		
835	2025-05-15T14:37:15.573	10	5146	2	1	494		0		
836	2025-05-15T14:37:15.573	10	5146	2	1	494		0	835	1
837	2025-05-15T14:37:15.573	10	5146	1	2	Sur connexion Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0	834	42
838	2025-05-15T14:37:15.598	11	5147	0	8	2C60AD86DB933A4D94AC61FA8D36467C	Process Web	0		
839	2025-05-15T14:37:15.598	11	5147	1	2	Compiler_Web		0		
840	2025-05-15T14:37:15.598	11	5147	2	1	604	DAX_BinaryFile	0		
841	2025-05-15T14:37:15.598	11	5147	2	1	604	DAX_BinaryFile	0	840	8
842	2025-05-15T14:37:15.598	11	5147	1	2	Compiler_Web		0	839	81
843	2025-05-15T14:37:15.599	11	5147	1	2	Sur authentification Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
844	2025-05-15T14:37:15.599	11	5147	1	2	Sur authentification Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	843	74
845	2025-05-15T14:37:15.600	11	5147	1	2	Sur connexion Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
846	2025-05-15T14:37:15.600	11	5147	2	1	494		0		
847	2025-05-15T14:37:15.600	11	5147	2	1	494		0	846	2
848	2025-05-15T14:37:15.600	11	5147	1	2	Sur connexion Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	845	104
849	2025-05-15T14:37:15.625	12	5148	0	8	879DA83EB0F94F41A9944201FFCABD7C	Process Web	0		
850	2025-05-15T14:37:15.625	12	5148	1	2	Compiler_Web		0		
851	2025-05-15T14:37:15.625	12	5148	2	1	604	DAX_BinaryFile	0		
852	2025-05-15T14:37:15.625	12	5148	2	1	604	DAX_BinaryFile	0	851	7
853	2025-05-15T14:37:15.625	12	5148	1	2	Compiler_Web		0	850	83
854	2025-05-15T14:37:15.626	12	5148	1	2	Sur authentification Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
855	2025-05-15T14:37:15.626	12	5148	1	2	Sur authentification Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	854	26
856	2025-05-15T14:37:15.627	12	5148	1	2	Sur connexion Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
857	2025-05-15T14:37:15.627	12	5148	2	1	494		0		
858	2025-05-15T14:37:15.627	12	5148	2	1	494		0	857	2
859	2025-05-15T14:37:15.627	12	5148	1	2	Sur connexion Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	856	46
860	2025-05-15T14:37:15.651	13	5149	0	8	C40B9543CE838E49A5CB5B0C3C16AE36	Process Web	0		
861	2025-05-15T14:37:15.652	13	5149	1	2	Compiler_Web		0		
862	2025-05-15T14:37:15.652	13	5149	2	1	604	DAX_BinaryFile	0		
863	2025-05-15T14:37:15.652	13	5149	2	1	604	DAX_BinaryFile	0	862	8
864	2025-05-15T14:37:15.652	13	5149	1	2	Compiler_Web		0	861	68
865	2025-05-15T14:37:15.653	13	5149	1	2	Sur authentification Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
866	2025-05-15T14:37:15.653	13	5149	1	2	Sur authentification Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	865	46
867	2025-05-15T14:37:15.653	13	5149	1	2	Sur connexion Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
868	2025-05-15T14:37:15.653	13	5149	2	1	494		0		
869	2025-05-15T14:37:15.653	13	5149	2	1	494		0	868	2
870	2025-05-15T14:37:15.653	13	5149	1	2	Sur connexion Web	"/r4/metadata";"GET /r4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	867	48
871	2025-05-15T14:37:15.678	14	5150	0	8	BAD9F5C24593E7478D52AD256BDA23D5	Process Web	0		
872	2025-05-15T14:37:15.678	14	5150	1	2	Compiler_Web		0		
873	2025-05-15T14:37:15.678	14	5150	2	1	604	DAX_BinaryFile	0		
874	2025-05-15T14:37:15.678	14	5150	2	1	604	DAX_BinaryFile	0	873	6
875	2025-05-15T14:37:15.678	14	5150	1	2	Compiler_Web		0	872	55
876	2025-05-15T14:37:15.679	14	5150	1	2	Sur authentification Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
877	2025-05-15T14:37:15.679	14	5150	1	2	Sur authentification Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	876	23
878	2025-05-15T14:37:15.680	14	5150	1	2	Sur connexion Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
879	2025-05-15T14:37:15.680	14	5150	2	1	494		0		
880	2025-05-15T14:37:15.680	14	5150	2	1	494		0	879	2
881	2025-05-15T14:37:15.680	14	5150	1	2	Sur connexion Web	"/baseDstu3/metadata";"GET /baseDstu3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	878	50
882	2025-05-15T14:37:16.339	19	5155	0	8	209EF34E7FAD53499D5908E0F41AFA95	Process Web	0		
883	2025-05-15T14:37:16.340	20	5156	0	8	D4C51004DF059C40948BFFAF838C4B8D	Process Web	0		
884	2025-05-15T14:37:16.341	21	5157	0	8	05EFB817247C494D8E945C28DAA77A9E	Process Web	0		
885	2025-05-15T14:37:16.355	19	5155	1	2	Compiler_Web		0		
886	2025-05-15T14:37:16.356	19	5155	2	1	604	DAX_BinaryFile	0		
887	2025-05-15T14:37:16.356	19	5155	2	1	604	DAX_BinaryFile	0	886	9
888	2025-05-15T14:37:16.356	19	5155	1	2	Compiler_Web		0	885	64
889	2025-05-15T14:37:16.356	19	5155	1	2	Sur authentification Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0		
890	2025-05-15T14:37:16.357	19	5155	1	2	Sur authentification Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0	889	33
891	2025-05-15T14:37:16.357	19	5155	1	2	Sur connexion Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0		
892	2025-05-15T14:37:16.357	19	5155	2	1	494		0		
893	2025-05-15T14:37:16.357	19	5155	2	1	494		0	892	2
894	2025-05-15T14:37:16.357	19	5155	1	2	Sur connexion Web	"/metadata";"GET /metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: appli...";"::1";"::1";"";""	0	891	46
895	2025-05-15T14:37:16.357	20	5156	1	2	Compiler_Web		0		
896	2025-05-15T14:37:16.357	20	5156	2	1	604	DAX_BinaryFile	0		
897	2025-05-15T14:37:16.357	20	5156	2	1	604	DAX_BinaryFile	0	896	6
898	2025-05-15T14:37:16.357	20	5156	1	2	Compiler_Web		0	895	49
899	2025-05-15T14:37:16.358	20	5156	1	2	Sur authentification Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
900	2025-05-15T14:37:16.358	20	5156	1	2	Sur authentification Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	899	23
901	2025-05-15T14:37:16.358	20	5156	1	2	Sur connexion Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0		
902	2025-05-15T14:37:16.358	20	5156	2	1	494		0		
903	2025-05-15T14:37:16.358	20	5156	2	1	494		0	902	1
904	2025-05-15T14:37:16.358	20	5156	1	2	Sur connexion Web	"/baseDstu2/metadata";"GET /baseDstu2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-T...";"::1";"::1";"";""	0	901	44
905	2025-05-15T14:37:16.358	21	5157	1	2	Compiler_Web		0		
906	2025-05-15T14:37:16.358	21	5157	2	1	604	DAX_BinaryFile	0		
907	2025-05-15T14:37:16.359	21	5157	2	1	604	DAX_BinaryFile	0	906	6
908	2025-05-15T14:37:16.359	21	5157	1	2	Compiler_Web		0	905	42
909	2025-05-15T14:37:16.359	21	5157	1	2	Sur authentification Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
910	2025-05-15T14:37:16.359	21	5157	1	2	Sur authentification Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	909	32
911	2025-05-15T14:37:16.360	21	5157	1	2	Sur connexion Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
912	2025-05-15T14:37:16.360	21	5157	2	1	494		0		
913	2025-05-15T14:37:16.360	21	5157	2	1	494		0	912	2
914	2025-05-15T14:37:16.360	21	5157	1	2	Sur connexion Web	"/r2/metadata";"GET /r2/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	911	153
915	2025-05-15T14:37:16.361	22	5158	0	8	1991471B10C8694589A7DB96CE4F6334	Process Web	0		
916	2025-05-15T14:37:16.361	23	5159	0	8	E7A048A914E4F94285F403CA6CA6F903	Process Web	0		
917	2025-05-15T14:37:16.362	24	5160	0	8	3C30B2923B3D3F439F6488DA99E863E8	Process Web	0		
918	2025-05-15T14:37:16.364	25	5161	0	8	D3D895932ADF2647A49D006357B54D44	Process Web	0		
919	2025-05-15T14:37:16.364	26	5162	0	8	1B2A631A13FCD84F9A202E946D073774	Process Web	0		
920	2025-05-15T14:37:16.365	27	5163	0	8	46C0D8F2A5666247BB705BE1D509FB71	Process Web	0		
921	2025-05-15T14:37:16.366	28	5164	0	8	06BE7F667E064B4095AAA76AECD7113A	Process Web	0		
922	2025-05-15T14:37:16.367	29	5165	0	8	80CB6588A05CAF4994D803E154265DF0	Process Web	0		
923	2025-05-15T14:37:16.367	32	5166	0	8	AC0451659E9EB345A7459468552F5FB5	Process Web	0		
924	2025-05-15T14:37:16.371	22	5158	1	2	Compiler_Web		0		
925	2025-05-15T14:37:16.371	22	5158	2	1	604	DAX_BinaryFile	0		
926	2025-05-15T14:37:16.371	22	5158	2	1	604	DAX_BinaryFile	0	925	8
927	2025-05-15T14:37:16.371	22	5158	1	2	Compiler_Web		0	924	54
928	2025-05-15T14:37:16.372	22	5158	1	2	Sur authentification Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0		
929	2025-05-15T14:37:16.372	22	5158	1	2	Sur authentification Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0	928	36
930	2025-05-15T14:37:16.373	22	5158	1	2	Sur connexion Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0		
931	2025-05-15T14:37:16.373	22	5158	2	1	494		0		
932	2025-05-15T14:37:16.373	22	5158	2	1	494		0	931	1
933	2025-05-15T14:37:16.373	22	5158	1	2	Sur connexion Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0	930	53
934	2025-05-15T14:37:16.373	23	5159	1	2	Compiler_Web		0		
935	2025-05-15T14:37:16.373	23	5159	2	1	604	DAX_BinaryFile	0		
936	2025-05-15T14:37:16.373	23	5159	2	1	604	DAX_BinaryFile	0	935	6
937	2025-05-15T14:37:16.373	23	5159	1	2	Compiler_Web		0	934	46
938	2025-05-15T14:37:16.374	23	5159	1	2	Sur authentification Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0		
939	2025-05-15T14:37:16.374	23	5159	1	2	Sur authentification Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0	938	20
940	2025-05-15T14:37:16.374	23	5159	1	2	Sur connexion Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0		
941	2025-05-15T14:37:16.374	23	5159	2	1	494		0		
942	2025-05-15T14:37:16.374	23	5159	2	1	494		0	941	1
943	2025-05-15T14:37:16.374	23	5159	1	2	Sur connexion Web	"/fhir-server/api/v4/metadata";"GET /fhir-server/api/v4/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\n...";"::1";"::1";"";""	0	940	52
944	2025-05-15T14:37:16.374	24	5160	1	2	Compiler_Web		0		
945	2025-05-15T14:37:16.374	24	5160	2	1	604	DAX_BinaryFile	0		
946	2025-05-15T14:37:16.374	24	5160	2	1	604	DAX_BinaryFile	0	945	6
947	2025-05-15T14:37:16.374	24	5160	1	2	Compiler_Web		0	944	46
948	2025-05-15T14:37:16.375	24	5160	1	2	Sur authentification Web	"/r5/metadata";"GET /r5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
949	2025-05-15T14:37:16.375	24	5160	1	2	Sur authentification Web	"/r5/metadata";"GET /r5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	948	28
950	2025-05-15T14:37:16.375	24	5160	1	2	Sur connexion Web	"/r5/metadata";"GET /r5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
951	2025-05-15T14:37:16.375	24	5160	2	1	494		0		
952	2025-05-15T14:37:16.375	24	5160	2	1	494		0	951	1
953	2025-05-15T14:37:16.375	24	5160	1	2	Sur connexion Web	"/r5/metadata";"GET /r5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	950	57
954	2025-05-15T14:37:16.376	25	5161	1	2	Compiler_Web		0		
955	2025-05-15T14:37:16.376	25	5161	2	1	604	DAX_BinaryFile	0		
956	2025-05-15T14:37:16.376	25	5161	2	1	604	DAX_BinaryFile	0	955	6
957	2025-05-15T14:37:16.376	25	5161	1	2	Compiler_Web		0	954	42
958	2025-05-15T14:37:16.377	25	5161	1	2	Sur authentification Web	"/baseR5/metadata";"GET /baseR5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
959	2025-05-15T14:37:16.377	25	5161	1	2	Sur authentification Web	"/baseR5/metadata";"GET /baseR5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	958	38
960	2025-05-15T14:37:16.377	25	5161	1	2	Sur connexion Web	"/baseR5/metadata";"GET /baseR5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0		
961	2025-05-15T14:37:16.377	25	5161	2	1	494		0		
962	2025-05-15T14:37:16.377	25	5161	2	1	494		0	961	1
963	2025-05-15T14:37:16.377	25	5161	1	2	Sur connexion Web	"/baseR5/metadata";"GET /baseR5/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type...";"::1";"::1";"";""	0	960	42
964	2025-05-15T14:37:16.377	26	5162	1	2	Compiler_Web		0		
965	2025-05-15T14:37:16.377	26	5162	2	1	604	DAX_BinaryFile	0		
966	2025-05-15T14:37:16.377	26	5162	2	1	604	DAX_BinaryFile	0	965	6
967	2025-05-15T14:37:16.377	26	5162	1	2	Compiler_Web		0	964	72
968	2025-05-15T14:37:16.378	26	5162	1	2	Sur authentification Web	"/r3/metadata";"GET /r3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
969	2025-05-15T14:37:16.378	26	5162	1	2	Sur authentification Web	"/r3/metadata";"GET /r3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0	968	18
970	2025-05-15T14:37:16.378	26	5162	1	2	Sur connexion Web	"/r3/metadata";"GET /r3/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ap...";"::1";"::1";"";""	0		
971	2025-05-15T14:37:16.378	26	5162	2	1	494		0		
972	2025-05-15T14:37:16.378	26	5162	2	1	494		0	971	1
